"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
72;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5,6";5;72;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo2O3";"脫xido Molibdoso";"脫xido de Molibdeno (III)";"Di";"Tri";"Di脫xido de TriMolibdeno";"Di贸xido de Trimolibdeno"
73;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5,6";5;73;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O2";"脫xido Molibd茅nico";"脫xido de Molibdeno (IV)";"Mono";"Di";"Mon脫xido de DiMolibdeno";"Mon贸xido de Dimolibdeno"
74;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5,6";5;74;4;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo2O5";"脫xido Permolibd茅nico";"脫xido de Molibdeno (V)";"Di";"Penta";"Di脫xido de PentaMolibdeno";"Di贸xido de Pentamolibdeno"
75;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5,6";5;75;5;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O3";"脫xido Supermolibd茅nico";"脫xido de Molibdeno (VI)";"Mono";"Tri";"Mon脫xido de TriMolibdeno";"Mon贸xido de Trimolibdeno"
76;"Tc";"Tecnecio";43;7;5;"Metal";"Metales de transici髇";"S髄ido";"7";1;76;1;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tc2O7";"脫xido de Tecnecio";"脫xido de Tecnecio (VII)";"Di";"Hepta";"Di脫xido de HeptaTecnecio";"Di贸xido de Heptatecnecio"
77;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,8";5;77;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O1";"脫xido Hiporutenoso";"脫xido de Rutenio (II)";"Mono";"Mono";"Mon脫xido de MonoRutenio";"Mon贸xido de Monorutenio"
78;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,8";5;78;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru2O3";"脫xido Rutenoso";"脫xido de Rutenio (III)";"Di";"Tri";"Di脫xido de TriRutenio";"Di贸xido de Trirutenio"
79;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,8";5;79;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O2";"脫xido Rutenoso";"脫xido de Rutenio (IV)";"Mono";"Di";"Mon脫xido de DiRutenio";"Mon贸xido de Dirutenio"
80;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,8";5;80;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O3";"脫xido Perrutenoso";"脫xido de Rutenio (VI)";"Mono";"Tri";"Mon脫xido de TriRutenio";"Mon贸xido de Trirutenio"
81;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,8";5;81;5;"8";"VIII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O4";"脫xido Superrutenoso";"脫xido de Rutenio (VIII)";"Mono";"Tetra";"Mon脫xido de TetraRutenio";"Mon贸xido de Tetrarutenio"
82;"Rh";"Rodio";45;9;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4";3;82;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh1O1";"脫xido Hiporodoso";"脫xido de Rodio (II)";"Mono";"Mono";"Mon脫xido de MonoRodio";"Mon贸xido de Monorodio"
83;"Rh";"Rodio";45;9;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4";3;83;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh2O3";"脫xido Rodoso";"脫xido de Rodio (III)";"Di";"Tri";"Di脫xido de TriRodio";"Di贸xido de Trirodio"
84;"Rh";"Rodio";45;9;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4";3;84;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh1O2";"脫xido R贸dico";"脫xido de Rodio (IV)";"Mono";"Di";"Mon脫xido de DiRodio";"Mon贸xido de Dirodio"
85;"Pd";"Paladio";46;10;5;"Metal";"Metales de transici髇";"S髄ido";"2,4";2;85;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pd1O1";"脫xido Paladoso";"脫xido de Paladio (II)";"Mono";"Mono";"Mon脫xido de MonoPaladio";"Mon贸xido de Monopaladio"
86;"Pd";"Paladio";46;10;5;"Metal";"Metales de transici髇";"S髄ido";"2,4";2;86;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pd1O2";"脫xido Pal谩dico";"脫xido de Paladio (IV)";"Mono";"Di";"Mon脫xido de DiPaladio";"Mon贸xido de Dipaladio"
87;"Ag";"Plata";47;11;5;"Metal";"Metales de transici髇";"S髄ido";"1";1;87;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ag2O1";"脫xido de Plata";"脫xido de Plata (I)";"Di";"Mono";"Di脫xido de MonoPlata";"Di贸xido de Monoplata"
88;"Cd";"Cadmio";48;12;5;"Metal";"Metales de transici髇";"S髄ido";"2";1;88;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cd1O1";"脫xido de Cadmio";"脫xido de Cadmio (II)";"Mono";"Mono";"Mon脫xido de MonoCadmio";"Mon贸xido de Monocadmio"
89;"In";"Indio";49;13;5;"Metal";"Metales del Bloque p";"S髄ido";"3";1;89;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"In2O3";"脫xido de Indio";"脫xido de Indio (III)";"Di";"Tri";"Di脫xido de TriIndio";"Di贸xido de Triindio"
