Order;Symbol;Name;OxydeName_Part01_Classic;OxydeName_Part02_Classic;OxydeName_Part03_Classic;Name_Classic_Oxyde;AtomicNumber;Group;Period;Type;Subtype;State;Valence;AmountOfValences;OrderGeneralValences;OrderValenceOnElement;SelectedValence;RomanValence;OxydeName_Part01_IUPAC;Name_IUPAC_Oxyde
107;Pr;Praseodimio;Óxido ;;Praseodímico;Óxido Praseodímico;59;3;6;Metal;Lantánidos;Sólido;3,4;2;107;2;4;IV;Óxido de ;Óxido de Praseodimio (IV)
108;Nd;Neodimio;Óxido ;;de Neodimio;Óxido de Neodimio;60;3;6;Metal;Lantánidos;Sólido;3;1;108;1;3;III;Óxido de ;Óxido de Neodimio (III)
109;Pm;Promesa;Óxido ;;de Promesa;Óxido de Promesa;61;3;6;Metal;Lantánidos;Sólido;3;1;109;1;3;III;Óxido de ;Óxido de Promesa (III)
110;Sm;Samario;Óxido ;;Samaroso;Óxido Samaroso;62;3;6;Metal;Lantánidos;Sólido;2,3;2;110;1;2;II;Óxido de ;Óxido de Samario (II)
111;Sm;Samario;Óxido ;;Samárico;Óxido Samárico;62;3;6;Metal;Lantánidos;Sólido;2,3;2;111;2;3;III;Óxido de ;Óxido de Samario (III)
112;Eu;Europio;Óxido ;;Europoso;Óxido Europoso;63;3;6;Metal;Lantánidos;Sólido;2,3;2;112;1;2;II;Óxido de ;Óxido de Europio (II)
113;Eu;Europio;Óxido ;;Európico;Óxido Európico;63;3;6;Metal;Lantánidos;Sólido;2,3;2;113;2;3;III;Óxido de ;Óxido de Europio (III)
114;Gd;Gadolinio;Óxido ;;de Gadolinio;Óxido de Gadolinio;64;3;6;Metal;Lantánidos;Sólido;3;1;114;1;3;III;Óxido de ;Óxido de Gadolinio (III)
115;Tb;Terbio;Óxido ;;Terboso;Óxido Terboso;65;3;6;Metal;Lantánidos;Sólido;3,4;2;115;1;3;III;Óxido de ;Óxido de Terbio (III)
116;Tb;Terbio;Óxido ;;Térbico;Óxido Térbico;65;3;6;Metal;Lantánidos;Sólido;3,4;2;116;2;4;IV;Óxido de ;Óxido de Terbio (IV)
117;Dy;Disprosio;Óxido ;;de Disprosio;Óxido de Disprosio;66;3;6;Metal;Lantánidos;Sólido;3;1;117;1;3;III;Óxido de ;Óxido de Disprosio (III)
118;Ho;Holmio;Óxido ;;de Holmio;Óxido de Holmio;67;3;6;Metal;Lantánidos;Sólido;3;1;118;1;3;III;Óxido de ;Óxido de Holmio (III)
119;Er;Erbio;Óxido ;;de Erbio;Óxido de Erbio;68;3;6;Metal;Lantánidos;Sólido;3;1;119;1;3;III;Óxido de ;Óxido de Erbio (III)
120;Tm;Tulio;Óxido ;;Tuloso;Óxido Tuloso;69;3;6;Metal;Lantánidos;Sólido;3,2;2;120;2;3;III;Óxido de ;Óxido de Tulio (III)
121;Tm;Tulio;Óxido ;;Túlico;Óxido Túlico;69;3;6;Metal;Lantánidos;Sólido;3,2;2;121;1;2;II;Óxido de ;Óxido de Tulio (II)
122;Yb;Iterbio;Óxido ;;Iterboso;Óxido Iterboso;70;3;6;Metal;Lantánidos;Sólido;2,3;2;122;1;2;II;Óxido de ;Óxido de Iterbio (II)
123;Yb;Iterbio;Óxido ;;Itérbico;Óxido Itérbico;70;3;6;Metal;Lantánidos;Sólido;2,3;2;123;2;3;III;Óxido de ;Óxido de Iterbio (III)
124;Lu;Lutecio;Óxido ;;de Lutecio;Óxido de Lutecio;71;3;6;Metal;Lantánidos;Sólido;3;1;124;1;3;III;Óxido de ;Óxido de Lutecio (III)
125;Hf;Hafnio;Óxido ;;de Hafnio;Óxido de Hafnio;72;4;6;Metal;Lantánidos;Sólido;4;1;125;1;4;IV;Óxido de ;Óxido de Hafnio (IV)
126;Ta;Tantalio;Óxido ;;de Tantalio;Óxido de Tantalio;73;5;6;Metal;Lantánidos;Sólido;5;1;126;1;5;V;Óxido de ;Óxido de Tantalio (V)
127;W;Tungsteno;Óxido ;Hipo;Tungstoso;Óxido HipoTungstoso;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;127;1;2;II;Óxido de ;Óxido de Tungsteno (II)
128;W;Tungsteno;Óxido ;;Tungstoso;Óxido Tungstoso;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;128;2;3;III;Óxido de ;Óxido de Tungsteno (III)
129;W;Tungsteno;Óxido ;;Tungsténico;Óxido Tungsténico;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;129;3;4;IV;Óxido de ;Óxido de Tungsteno (IV)
130;W;Tungsteno;Óxido ;Per;Tungsténico;Óxido PerTungsténico;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;130;4;5;V;Óxido de ;Óxido de Tungsteno (V)
131;W;Tungsteno;Óxido ;Super;Tungsténico;Óxido SuperTungsténico;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;131;5;6;VI;Óxido de ;Óxido de Tungsteno (VI)
